State,Area_name,Unemployment rate 2007,Unemployment rate 2008,Unemployment rate 2009,Unemployment rate 2010,Unemployment rate 2011,Unemployment rate 2012,Unemployment rate 2013,Unemployment rate 2014,Unemployment rate 2015,Unemployment rate 2016,Unemployment rate 2017,Unemployment rate 2018,Rate Change from 2007 to 2008,Rate Change from 2008 to 2018
US,United States,4.6,5.8,9.3,9.6,9.0,8.1,7.4,6.2,5.3,4.9,4.4,3.9,1.2000000000000002,-1.9
AL,Alabama,4.0,5.7,11.0,10.5,9.6,8.0,7.2,6.8,6.1,5.8,4.4,3.9,1.7000000000000002,-1.8000000000000003
AK,Alaska,6.3,6.7,7.7,7.9,7.6,7.1,7.0,6.9,6.5,6.9,7.0,6.6,0.40000000000000036,-0.10000000000000053
AZ,Arizona,3.9,6.2,9.9,10.4,9.5,8.3,7.7,6.8,6.1,5.4,4.9,4.8,2.3000000000000003,-1.4000000000000004
AR,Arkansas,5.3,5.5,7.8,8.2,8.3,7.6,7.2,6.0,5.0,4.0,3.7,3.7,0.20000000000000018,-1.7999999999999998
CA,California,5.4,7.3,11.2,12.2,11.7,10.4,8.9,7.5,6.2,5.5,4.8,4.2,1.8999999999999995,-3.0999999999999996
Co,Colorado,3.7,4.8,7.3,8.7,8.4,7.9,6.9,5.0,3.9,3.2,2.7,3.3,1.0999999999999996,-1.5
CT,Connecticut,4.5,5.7,7.9,9.1,8.8,8.3,7.8,6.6,5.7,5.1,4.7,4.1,1.2000000000000002,-1.6000000000000005
DE,Delaware,3.4,4.9,8.3,8.4,7.5,7.2,6.7,5.7,4.9,4.5,4.5,3.8,1.5000000000000004,-1.1000000000000005
DC,District of Columbia,5.5,6.5,9.3,9.4,10.2,9.0,8.5,7.8,6.9,6.1,6.1,5.6,1.0,-0.9000000000000004
DC,District of Columbia,5.5,6.5,9.3,9.4,10.2,9.0,8.5,7.8,6.9,6.1,6.1,5.6,1.0,-0.9000000000000004
FL,Florida,4.0,6.3,10.4,11.1,10.0,8.5,7.2,6.3,5.5,4.8,4.2,3.6,2.3,-2.6999999999999997
GA,Georgia,4.5,6.2,9.9,10.5,10.2,9.2,8.2,7.1,6.0,5.4,4.7,3.9,1.7000000000000002,-2.3000000000000003
HI,Hawaii,2.8,4.3,7.2,6.9,6.8,6.0,4.9,4.4,3.6,3.0,2.4,2.4,1.5,-1.9
ID,Idaho,3.1,5.1,8.8,9.0,8.3,7.2,6.1,4.8,4.2,3.8,3.2,2.8,1.9999999999999996,-2.3
IL,Illinois,5.0,6.3,10.2,10.4,9.7,9.0,9.0,7.1,6.0,5.8,4.9,4.3,1.2999999999999998,-2.0
IN,Indiana,4.6,5.9,10.3,10.4,9.1,8.3,7.7,6.0,4.8,4.4,3.6,3.4,1.3000000000000007,-2.5000000000000004
IA,Iowa,3.7,4.2,6.4,6.0,5.5,5.0,4.7,4.2,3.8,3.6,3.1,2.5,0.5,-1.7000000000000002
KS,Kansas,4.2,4.6,6.9,7.1,6.5,5.7,5.3,4.5,4.2,4.0,3.7,3.4,0.39999999999999947,-1.1999999999999997
KY,Kentucky,5.4,6.4,10.3,10.2,9.4,8.2,8.0,6.5,5.3,5.1,4.9,4.3,1.0,-2.1000000000000005
LA,Louisiana,4.3,4.9,6.8,8.0,7.8,7.1,6.7,6.4,6.3,6.1,5.1,4.9,0.6000000000000005,0.0
ME,Maine,4.7,5.5,8.1,8.1,7.9,7.5,6.6,5.6,4.4,3.8,3.4,3.4,0.7999999999999998,-2.1
MD,Maryland,3.5,4.2,7.0,7.7,7.2,7.0,6.6,5.8,5.1,4.5,4.3,3.9,0.7000000000000002,-0.30000000000000027
MA,Massachusetts,4.6,5.5,8.1,8.3,7.3,6.7,6.7,5.7,4.8,3.9,3.8,3.3,0.9000000000000004,-2.2
MI,Michigan,7.0,8.0,13.7,12.6,10.4,9.1,8.8,7.2,5.4,5.0,4.6,4.1,1.0,-3.9000000000000004
MN,Minnesota,4.6,5.4,7.8,7.4,6.5,5.6,5.0,4.2,3.7,3.9,3.4,2.9,0.8000000000000007,-2.5000000000000004
MS,Mississippi,6.1,6.6,9.5,10.4,10.0,9.0,8.5,7.5,6.4,5.8,5.1,4.8,0.5,-1.7999999999999998
MO,Missouri,5.1,6.1,9.3,9.6,8.5,6.9,6.7,6.1,5.0,4.6,3.8,3.2,1.0,-2.8999999999999995
MT,Montana,3.6,5.1,6.8,7.3,6.9,6.0,5.4,4.7,4.2,4.1,3.9,3.7,1.4999999999999996,-1.3999999999999995
NE,Nebraska,3.0,3.3,4.6,4.6,4.4,4.0,3.8,3.3,3.0,3.1,2.9,2.8,0.2999999999999998,-0.5
NV,Nevada,4.5,6.7,11.3,13.5,13.0,11.2,9.6,7.9,6.8,5.7,5.1,4.6,2.2,-2.1000000000000005
NH,New Hampshire,3.5,3.9,6.2,5.8,5.4,5.5,5.1,4.3,3.4,2.9,2.7,2.5,0.3999999999999999,-1.4
NJ,New Jersey,4.3,5.3,9.1,9.5,9.3,9.3,8.2,6.8,5.8,5.0,4.6,4.1,1.0,-1.2000000000000002
NM,New Mexico,3.8,4.5,7.5,8.1,7.5,7.1,6.9,6.7,6.5,6.6,5.9,4.9,0.7000000000000002,0.40000000000000036
NY,New York,4.6,5.4,8.3,8.6,8.3,8.5,7.7,6.3,5.3,4.9,4.7,4.1,0.8000000000000007,-1.3000000000000007
NC,North Carolina,4.7,6.1,10.6,10.9,10.3,9.3,8.0,6.3,5.7,5.1,4.5,3.9,1.3999999999999995,-2.1999999999999997
ND,North Dakota,3.1,3.2,4.1,3.8,3.5,3.1,2.9,2.7,2.8,3.1,2.7,2.6,0.10000000000000009,-0.6000000000000001
OH,Ohio,5.6,6.4,10.3,10.3,8.8,7.4,7.5,5.8,4.9,5.0,5.0,4.6,0.8000000000000007,-1.8000000000000007
OK,Oklahoma,4.1,3.7,6.4,6.8,5.9,5.2,5.3,4.5,4.4,4.8,4.2,3.4,-0.39999999999999947,-0.30000000000000027
OR,Oregon,5.2,6.5,11.3,10.6,9.5,8.8,7.9,6.8,5.6,4.8,4.1,4.2,1.2999999999999998,-2.3
PA,Pennsylvania,4.4,5.3,8.0,8.5,7.9,7.8,7.4,5.9,5.3,5.4,4.9,4.3,0.8999999999999995,-1.0
RI,Rhode Island,5.2,7.8,11.0,11.2,11.0,10.4,9.3,7.7,6.0,5.2,4.4,4.1,2.5999999999999996,-3.7
SC,South Carolina,5.7,6.8,11.2,11.2,10.6,9.2,7.6,6.5,6.0,5.0,4.3,3.4,1.0999999999999996,-3.4
SD,South Dakota,2.8,3.1,4.9,5.0,4.7,4.3,3.8,3.4,3.1,3.0,3.2,3.0,0.30000000000000027,-0.10000000000000009
TN,Tennessee,4.7,6.6,10.5,9.7,9.0,7.8,7.8,6.6,5.6,4.7,3.8,3.5,1.8999999999999995,-3.0999999999999996
TX,Texas,4.3,4.8,7.6,8.1,7.8,6.7,6.3,5.1,4.4,4.6,4.3,3.9,0.5,-0.8999999999999999
UT,Utah,2.6,3.6,7.3,7.8,6.7,5.4,4.6,3.8,3.6,3.4,3.3,3.1,1.0,-0.5
VT,Vermont,4.0,4.7,6.6,6.1,5.5,5.0,4.4,3.9,3.6,3.2,3.0,2.7,0.7000000000000002,-2.0
VA,Virginia,3.0,3.9,6.7,7.1,6.6,6.1,5.7,5.2,4.5,4.1,3.7,3.0,0.8999999999999999,-0.8999999999999999
WA,Washington,4.7,5.4,9.2,10.0,9.3,8.1,7.0,6.1,5.6,5.3,4.7,4.5,0.7000000000000002,-0.9000000000000004
WV,West Virginia,4.6,4.3,7.7,8.7,8.1,7.5,6.8,6.6,6.7,6.1,5.2,5.3,-0.2999999999999998,1.0
WI,Wisconsin,4.9,4.9,8.6,8.7,7.8,7.0,6.7,5.4,4.6,4.0,3.3,3.0,0.0,-1.9000000000000004
WY,Wyoming,2.8,3.1,6.3,6.4,5.8,5.3,4.7,4.1,4.3,5.3,4.2,4.1,0.30000000000000027,0.9999999999999996
PR,Puerto Rico,11.2,11.8,15.3,16.4,16.0,14.5,14.3,13.9,12.0,11.8,10.8,9.2,0.6000000000000014,-2.6000000000000014
